院校,科类,批次,院校专业组代码,专业组,风险等级,专业代码,专业名称,专业类,大类,风险说明
泰州职业技术学院,物理,专科批,143103,泰州职业技术学院03,中危混合组,56,工程造价(与徐州工程学院分段培养项目),土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
泰州职业技术学院,物理,专科批,143104,泰州职业技术学院04,未标风险,57,"口腔医学(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
山东胜利职业学院,物理,专科批,261802,山东胜利职业学院02,中危混合组,17,石油化工技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山东胜利职业学院,物理,专科批,261802,山东胜利职业学院02,中危混合组,22,烹饪工艺与营养,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
湖南化工职业技术大学,历史,专科批,537801,湖南化工职业技术大学01,未标风险,01,化妆品经营与管理,生物化工类,生物与化工大类,专科就业或接受度需谨慎核对
山东胜利职业学院,历史,专科批,261801,山东胜利职业学院01,中危混合组,04,石油化工技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山东胜利职业学院,历史,专科批,261801,山东胜利职业学院01,中危混合组,09,烹饪工艺与营养,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江西机电职业技术学院,历史,专科批,256901,江西机电职业技术学院01,中危混合组,02,工业设计,文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
湖南城建职业技术学院,历史,专科批,531701,湖南城建职业技术学院01,整体偏冷组,01,工程造价(高新校区),土木建筑类,土木建筑大类,专科就业或接受度需谨慎核对
湖南城建职业技术学院,历史,专科批,531702,湖南城建职业技术学院02,整体偏冷组,02,水利水电建筑工程(高新校区),土木建筑类,土木建筑大类,专科就业或接受度需谨慎核对
江苏航运职业技术学院,物理,提前专科批,131108,江苏航运职业技术学院08,大杂组,33,"航海技术(报考该专业有色觉要求,具体请查阅院校招生章程)",航海运输类,交通运输大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏航运职业技术学院,物理,提前专科批,131108,江苏航运职业技术学院08,大杂组,34,"轮机工程技术(报考该专业有色觉要求,具体请查阅院校招生章程)",航海运输类,交通运输大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
山东现代学院,物理,专科批,821705,山东现代学院05,中危混合组,25,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山东现代学院,物理,专科批,821705,山东现代学院05,中危混合组,26,建筑工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
天津国土资源和房屋职业学院,历史,专科批,324101,天津国土资源和房屋职业学院01,中危混合组,01,宝玉石鉴定与加工,资源环境安全类,资源环境与安全大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
天津国土资源和房屋职业学院,历史,专科批,324101,天津国土资源和房屋职业学院01,中危混合组,02,建筑设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
天津国土资源和房屋职业学院,历史,专科批,324101,天津国土资源和房屋职业学院01,中危混合组,03,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
南通师范高等专科学校,物理,专科批,131505,南通师范高等专科学校05,中危混合组,21,现代家政服务与管理(如皋校区),公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
南通师范高等专科学校,物理,专科批,131505,南通师范高等专科学校05,中危混合组,34,音乐教育(师范),文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
南通师范高等专科学校,物理,专科批,131505,南通师范高等专科学校05,中危混合组,35,"美术教育(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)",文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
河北化工医药职业技术学院,物理,专科批,337602,河北化工医药职业技术学院02,中危混合组,04,分析检验技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江西交通职业技术学院,物理,专科批,256502,江西交通职业技术学院02,中危混合组,04,"城市轨道交通供配电技术(新建区校区)(报考该专业有色觉等要求,具体请查阅院校招生章程)",铁道运输类,交通运输大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
