school,subject,batch,groupCode,groupName,majorCode,majorName,majorClass,riskCategory,plan26,reason
浙江科技大学,物理,本科批,221205,浙江科技大学05,14,轻化工程,轻工类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
浙江科技大学,物理,本科批,221205,浙江科技大学05,15,环境工程,环境科学与工程类,低接受度远缘方向,4,二梯队宽口径主体组中夹入低接受度远缘方向
宁波工程学院,物理,本科批,222202,宁波工程学院02,05,智能建造,土木类,土木建筑类,2,二梯队宽口径主体组中夹入土木建筑类
宁波工程学院,物理,本科批,222202,宁波工程学院02,08,材料科学与工程,材料类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
温州大学,物理,本科批,222805,温州大学05,05,生物科学,生物科学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
温州大学,物理,本科批,222805,温州大学05,08,土木工程,土木类,土木建筑类,6,二梯队宽口径主体组中夹入土木建筑类
嘉兴大学,物理,本科批,223102,嘉兴大学02,12,制药工程,化工与制药类,材料化工生化类,6,二梯队宽口径主体组中夹入材料化工生化类
嘉兴大学,物理,本科批,223102,嘉兴大学02,13,应用化学,化学类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
嘉兴大学,物理,本科批,223102,嘉兴大学02,14,化学工程与工艺,化工与制药类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
嘉兴大学,物理,本科批,223102,嘉兴大学02,15,纺织工程,纺织类,低接受度远缘方向,8,二梯队宽口径主体组中夹入低接受度远缘方向
嘉兴大学,物理,本科批,223102,嘉兴大学02,16,高分子材料与工程,材料类,材料化工生化类,8,二梯队宽口径主体组中夹入材料化工生化类
嘉兴大学,物理,本科批,223102,嘉兴大学02,17,新能源材料与器件,材料类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
嘉兴大学,物理,本科批,223102,嘉兴大学02,18,土木工程,土木类,土木建筑类,8,二梯队宽口径主体组中夹入土木建筑类
嘉兴大学,物理,本科批,223102,嘉兴大学02,19,建筑环境与能源应用工程,土木类,土木建筑类,8,二梯队宽口径主体组中夹入土木建筑类
浙大城市学院,物理,本科批,224905,浙大城市学院05,19,土木工程,土木类,土木建筑类,4,二梯队宽口径主体组中夹入土木建筑类
浙大城市学院,物理,本科批,224905,浙大城市学院05,22,智能建造,土木类,土木建筑类,6,二梯队宽口径主体组中夹入土木建筑类
浙大城市学院,物理,本科批,224905,浙大城市学院05,23,能源与环境系统工程,能源动力类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,06,材料科学与工程,材料类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,07,高分子材料与工程,材料类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,10,能源与环境系统工程,能源动力类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,19,土木工程,土木类,土木建筑类,6,二梯队宽口径主体组中夹入土木建筑类
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,20,智能建造,土木类,土木建筑类,7,二梯队宽口径主体组中夹入土木建筑类
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,21,化学工程与工艺,化工与制药类,材料化工生化类,9,二梯队宽口径主体组中夹入材料化工生化类
浙大宁波理工学院,物理,本科批,225003,浙大宁波理工学院03,22,生物工程,生物工程类,材料化工生化类,7,二梯队宽口径主体组中夹入材料化工生化类
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,04,海洋科学,海洋科学类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,06,生物科学,生物科学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,07,水产养殖学,水产类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,08,海洋资源与环境,海洋科学类,低接受度远缘方向,6,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,09,海洋渔业科学与技术,水产类,低接受度远缘方向,4,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,10,食品科学与工程,食品科学与工程类,低接受度远缘方向,5,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,16,土木工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,17,港口航道与海岸工程,水利类,低接受度远缘方向,4,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,18,油气储运工程,矿业类,测绘地质类,3,二梯队宽口径主体组中夹入测绘地质类
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,19,化学工程与工艺,化工与制药类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,20,环境科学与工程,环境科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
浙江海洋大学,物理,本科批,225103,浙江海洋大学03,21,安全工程,安全科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
湖州师范大学,物理,本科批,226103,湖州师范大学03,07,材料科学与工程,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
湖州师范大学,物理,本科批,226103,湖州师范大学03,09,水产养殖学,水产类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
湖州师范大学,物理,本科批,226103,湖州师范大学03,13,生物科学,生物科学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
丽水学院,物理,本科批,226806,丽水学院06,11,新能源材料与器件,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
丽水学院,物理,本科批,226806,丽水学院06,13,环境工程,环境科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
丽水学院,物理,本科批,226806,丽水学院06,14,生物制药,生物工程类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
丽水学院,物理,本科批,226806,丽水学院06,15,园艺,植物生产类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
丽水学院,物理,本科批,226806,丽水学院06,18,智能建造,土木类,土木建筑类,4,二梯队宽口径主体组中夹入土木建筑类
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,02,水利水电工程,水利类,低接受度远缘方向,5,二梯队宽口径主体组中夹入低接受度远缘方向
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,03,水文与水资源工程,水利类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,04,港口航道与海岸工程,水利类,低接受度远缘方向,6,二梯队宽口径主体组中夹入低接受度远缘方向
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,05,测绘工程,测绘类,测绘地质类,3,二梯队宽口径主体组中夹入测绘地质类
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,06,给排水科学与工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,07,土木工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
浙江水利水电学院,物理,本科批,227202,浙江水利水电学院02,08,建筑环境与能源应用工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
湖州学院,物理,本科批,227502,湖州学院02,07,新能源材料与器件,材料类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
温州理工学院,物理,本科批,227601,温州理工学院01,06,土木工程,土木类,土木建筑类,2,二梯队宽口径主体组中夹入土木建筑类
温州理工学院,物理,本科批,227601,温州理工学院01,07,建筑环境与能源应用工程,土木类,土木建筑类,2,二梯队宽口径主体组中夹入土木建筑类
温州理工学院,物理,本科批,227601,温州理工学院01,08,智能建造,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,15,纺织工程,纺织类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,16,土木工程,土木类,土木建筑类,1,二梯队宽口径主体组中夹入土木建筑类
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,17,新能源材料与器件,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,18,化学工程与工艺,化工与制药类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,19,环境工程,环境科学与工程类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
