key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
历史|本科批|南京大学|南京大学03,文法教育、试验班,文法组,中,同族,110103,中国语言文学类、法学类、人文科学试验班类、社会科学试验班类、经济管理试验班类、外国语言文学类
物理|提前本科批|南京大学|南京大学04,艺术传媒,戏剧影视组,低,同族,110104,戏剧与影视学类
物理|提前本科批|南京大学|南京大学05,经管商贸,管工组,低,同族,110105,管理科学与工程类
物理|提前本科批|南京大学|南京大学06,理学基础、经管商贸、土建测绘、带电工科、地矿安全、生环食品、化材药,大理工组（夹建筑/地质学/环境/化学等）,高,大杂烩,110106,数学类、物理学类、经济学类、建筑类、计算机类、大气科学类、地理科学类、地质学类、环境科学与工程类、化学类、生物科学类
物理|提前本科批|南京大学|南京大学07,试验班,试验班组,低,同族,110107,工科试验班类、理科试验班类、技术科学试验班类
物理|本科批|南京大学|南京大学08,带电工科,电子信息组,低,同族,110108,电子信息类
物理|本科批|南京大学|南京大学09,试验班,试验班组,低,同族,110109,理科试验班类、工科试验班类
物理|本科批|南京大学|南京大学10,带电工科、理学基础,带电+理学组,低,相近混合,110110,计算机类、电子信息类、天文学类
物理|本科批|南京大学|南京大学11,带电工科、试验班、机械能源,带电+机械组,中,相近混合,110111,电子信息类、理科试验班类、计算机类、技术科学试验班类、工业工程类、工科试验班类
物理|本科批|南京大学|南京大学12,试验班、生环食品,生环组,中,同族,110112,工科试验班类、环境科学与工程类、理科试验班类
物理|本科批|南京大学|南京大学13,医药护理,临床口腔组,低,同族,110113,临床医学类、口腔医学类
物理|本科批|南京大学|南京大学14,理学基础,大气科学组,低,同族,110114,大气科学类
历史|提前本科批|东南大学|东南大学01,试验班,文科试验班组,低,同族,110201,文科试验班类
历史|提前本科批|东南大学|东南大学02,文法教育,外语组,低,同族,110202,外国语言文学类
历史|提前本科批|东南大学|东南大学03,试验班,文科试验班组,低,同族,110203,文科试验班类
历史|提前本科批|东南大学|东南大学04,文法教育,政治学组,低,同族,110204,政治学类
历史|本科批|东南大学|东南大学05,试验班,文科试验班组,低,同族,110205,文科试验班类
物理|提前本科批|东南大学|东南大学06,经管商贸,经济组,低,同族,110206,经济学类
