code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
082604T,康复工程,工学,0826,生物医学工程类,major,True,True,True,,医工,生医工,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx | 专业院校宝典.xlsx
082605T,健康科学与技术,工学,0826,生物医学工程类,major,False,True,True,,医工,生医工,普通高等学校本科专业目录（2026年） | 专业大类详解 | 专业就业去向.xlsx | 专业院校宝典.xlsx
082701,食品科学与工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082702,食品质量与安全,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082703,粮食工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082704,乳品工程,工学,0827,食品科学与工程类,major,False,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 专业就业去向.xlsx
082705,酿酒工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082706T,葡萄与葡萄酒工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082707T,食品营养与检验教育,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082708T,烹饪与营养教育,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082709T,食品安全与检测,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082710T,食品营养与健康,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082711T,食用菌科学与工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082712T,白酒酿造工程,工学,0827,食品科学与工程类,major,False,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业大类详解 | 专业就业去向.xlsx
082713T,咖啡科学与工程,工学,0827,食品科学与工程类,major,True,True,True,,食,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082801,建筑学,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082802,城乡规划,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082803,风景园林,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082804T,历史建筑保护工程,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082805T,人居环境科学与技术,工学,0828,建筑类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
082806T,城市设计,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082807T,智慧建筑与建造,工学,0828,建筑类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082808T,智慧景观营造,工学,0828,建筑类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
